study_accession,publication_title,year,mission,organism,tissue,assay,platform,environment,doi,source_url,abstract,metadata_json
OSD-51,Space biology research study on Homo sapiens - OSD-51,2015,ISS,Homo sapiens,lung,proteomics,mass spectrometry,spaceflight,10.1010/example.osd-51,https://osdr.nasa.gov/bio/repo/data/studies/OSD-51,This study investigates the effects of microgravity and space radiation on Homo sapiens lung tissue using proteomics technology. Samples were collected during ISS experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":16,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""Kennedy Space Center""}"
OSD-52,Space biology research study on Rattus norvegicus - OSD-52,2016,ISS Expedition 50,Rattus norvegicus,blood,metabolomics,NanoDrop,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/OSD-52,This study investigates the effects of microgravity and space radiation on Rattus norvegicus blood tissue using metabolomics technology. Samples were collected during ISS Expedition 50 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":17,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""University Partner""}"
OSD-54,Space biology research study on Mus musculus - OSD-54,2017,,Mus musculus,muscle,amplicon,Illumina HiSeq,ground,10.1012/example.osd-54,https://osdr.nasa.gov/bio/repo/data/studies/OSD-54,This study investigates the effects of microgravity and space radiation on Mus musculus muscle tissue using amplicon technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":18,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""NASA Ames""}"
OSD-55,Space biology research study on Arabidopsis thaliana - OSD-55,2018,Space Shuttle,Arabidopsis thaliana,bone,methyl-seq,Illumina NextSeq,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/OSD-55,This study investigates the effects of microgravity and space radiation on Arabidopsis thaliana bone tissue using methyl-seq technology. Samples were collected during Space Shuttle experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":19,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""Kennedy Space Center""}"
OSD-56,Space biology research study on Drosophila melanogaster - OSD-56,2019,,Drosophila melanogaster,liver,ATAC-seq,Affymetrix,spaceflight,10.1014/example.osd-56,https://osdr.nasa.gov/bio/repo/data/studies/OSD-56,This study investigates the effects of microgravity and space radiation on Drosophila melanogaster liver tissue using ATAC-seq technology. Samples were collected during None experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":20,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""University Partner""}"
OSD-100,Space biology research study on Caenorhabditis elegans - OSD-100,2020,,Caenorhabditis elegans,kidney,ChIP-seq,Agilent,ground,,https://osdr.nasa.gov/bio/repo/data/studies/OSD-100,This study investigates the effects of microgravity and space radiation on Caenorhabditis elegans kidney tissue using ChIP-seq technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":21,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""NASA Ames""}"
OSD-101,Space biology research study on Homo sapiens - OSD-101,2021,ISS Expedition 50,Homo sapiens,spleen,RNA-seq,mass spectrometry,spaceflight,10.1016/example.osd-101,https://osdr.nasa.gov/bio/repo/data/studies/OSD-101,This study investigates the effects of microgravity and space radiation on Homo sapiens spleen tissue using RNA-seq technology. Samples were collected during ISS Expedition 50 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":22,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""Kennedy Space Center""}"
OSD-104,Space biology research study on Rattus norvegicus - OSD-104,2022,ISS Expedition 60,Rattus norvegicus,heart,microarray,NanoDrop,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/OSD-104,This study investigates the effects of microgravity and space radiation on Rattus norvegicus heart tissue using microarray technology. Samples were collected during ISS Expedition 60 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":23,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""University Partner""}"
OSD-105,Space biology research study on Mus musculus - OSD-105,2023,,Mus musculus,leaf,proteomics,Illumina HiSeq,ground,10.1018/example.osd-105,https://osdr.nasa.gov/bio/repo/data/studies/OSD-105,This study investigates the effects of microgravity and space radiation on Mus musculus leaf tissue using proteomics technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":24,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""NASA Ames""}"
OSD-106,Space biology research study on Arabidopsis thaliana - OSD-106,2024,,Arabidopsis thaliana,root,metabolomics,Illumina NextSeq,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/OSD-106,This study investigates the effects of microgravity and space radiation on Arabidopsis thaliana root tissue using metabolomics technology. Samples were collected during None experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":25,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""Kennedy Space Center""}"
OSD-120,Space biology research study on Drosophila melanogaster - OSD-120,2015,ISS,Drosophila melanogaster,seed,amplicon,Affymetrix,spaceflight,10.1020/example.osd-120,https://osdr.nasa.gov/bio/repo/data/studies/OSD-120,This study investigates the effects of microgravity and space radiation on Drosophila melanogaster seed tissue using amplicon technology. Samples were collected during ISS experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":6,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""University Partner""}"
OSD-121,Space biology research study on Caenorhabditis elegans - OSD-121,2016,,Caenorhabditis elegans,brain,methyl-seq,Agilent,ground,,https://osdr.nasa.gov/bio/repo/data/studies/OSD-121,This study investigates the effects of microgravity and space radiation on Caenorhabditis elegans brain tissue using methyl-seq technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":7,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""NASA Ames""}"
OSD-137,Space biology research study on Homo sapiens - OSD-137,2017,ISS Expedition 60,Homo sapiens,lung,ATAC-seq,mass spectrometry,spaceflight,10.1022/example.osd-137,https://osdr.nasa.gov/bio/repo/data/studies/OSD-137,This study investigates the effects of microgravity and space radiation on Homo sapiens lung tissue using ATAC-seq technology. Samples were collected during ISS Expedition 60 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":8,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""Kennedy Space Center""}"
OSD-138,Space biology research study on Rattus norvegicus - OSD-138,2018,Space Shuttle,Rattus norvegicus,blood,ChIP-seq,NanoDrop,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/OSD-138,This study investigates the effects of microgravity and space radiation on Rattus norvegicus blood tissue using ChIP-seq technology. Samples were collected during Space Shuttle experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":9,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""University Partner""}"
OSD-139,Space biology research study on Mus musculus - OSD-139,2019,,Mus musculus,muscle,RNA-seq,Illumina HiSeq,ground,10.1024/example.osd-139,https://osdr.nasa.gov/bio/repo/data/studies/OSD-139,This study investigates the effects of microgravity and space radiation on Mus musculus muscle tissue using RNA-seq technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":10,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""NASA Ames""}"
OSD-140,Space biology research study on Arabidopsis thaliana - OSD-140,2020,ISS,Arabidopsis thaliana,bone,microarray,Illumina NextSeq,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/OSD-140,This study investigates the effects of microgravity and space radiation on Arabidopsis thaliana bone tissue using microarray technology. Samples were collected during ISS experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":11,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""Kennedy Space Center""}"
OSD-141,Space biology research study on Drosophila melanogaster - OSD-141,2021,ISS Expedition 50,Drosophila melanogaster,liver,proteomics,Affymetrix,spaceflight,10.1026/example.osd-141,https://osdr.nasa.gov/bio/repo/data/studies/OSD-141,This study investigates the effects of microgravity and space radiation on Drosophila melanogaster liver tissue using proteomics technology. Samples were collected during ISS Expedition 50 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":12,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""University Partner""}"
OSD-168,Space biology research study on Caenorhabditis elegans - OSD-168,2022,,Caenorhabditis elegans,kidney,metabolomics,Agilent,ground,,https://osdr.nasa.gov/bio/repo/data/studies/OSD-168,This study investigates the effects of microgravity and space radiation on Caenorhabditis elegans kidney tissue using metabolomics technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":13,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""NASA Ames""}"
OSD-169,Space biology research study on Homo sapiens - OSD-169,2023,Space Shuttle,Homo sapiens,spleen,amplicon,mass spectrometry,spaceflight,10.1028/example.osd-169,https://osdr.nasa.gov/bio/repo/data/studies/OSD-169,This study investigates the effects of microgravity and space radiation on Homo sapiens spleen tissue using amplicon technology. Samples were collected during Space Shuttle experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":14,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""Kennedy Space Center""}"
OSD-170,Space biology research study on Rattus norvegicus - OSD-170,2024,,Rattus norvegicus,heart,methyl-seq,NanoDrop,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/OSD-170,This study investigates the effects of microgravity and space radiation on Rattus norvegicus heart tissue using methyl-seq technology. Samples were collected during None experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":15,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""University Partner""}"
OSD-171,Space biology research study on Mus musculus - OSD-171,2015,,Mus musculus,leaf,ATAC-seq,Illumina HiSeq,ground,10.1030/example.osd-171,https://osdr.nasa.gov/bio/repo/data/studies/OSD-171,This study investigates the effects of microgravity and space radiation on Mus musculus leaf tissue using ATAC-seq technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":16,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""NASA Ames""}"
OSD-205,Space biology research study on Arabidopsis thaliana - OSD-205,2016,ISS Expedition 50,Arabidopsis thaliana,root,ChIP-seq,Illumina NextSeq,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/OSD-205,This study investigates the effects of microgravity and space radiation on Arabidopsis thaliana root tissue using ChIP-seq technology. Samples were collected during ISS Expedition 50 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":17,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""Kennedy Space Center""}"
OSD-206,Space biology research study on Drosophila melanogaster - OSD-206,2017,ISS Expedition 60,Drosophila melanogaster,seed,RNA-seq,Affymetrix,spaceflight,10.1032/example.osd-206,https://osdr.nasa.gov/bio/repo/data/studies/OSD-206,This study investigates the effects of microgravity and space radiation on Drosophila melanogaster seed tissue using RNA-seq technology. Samples were collected during ISS Expedition 60 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":18,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""University Partner""}"
OSD-207,Space biology research study on Caenorhabditis elegans - OSD-207,2018,,Caenorhabditis elegans,brain,microarray,Agilent,ground,,https://osdr.nasa.gov/bio/repo/data/studies/OSD-207,This study investigates the effects of microgravity and space radiation on Caenorhabditis elegans brain tissue using microarray technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":19,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""NASA Ames""}"
OSD-242,Space biology research study on Homo sapiens - OSD-242,2019,,Homo sapiens,lung,proteomics,mass spectrometry,spaceflight,10.1034/example.osd-242,https://osdr.nasa.gov/bio/repo/data/studies/OSD-242,This study investigates the effects of microgravity and space radiation on Homo sapiens lung tissue using proteomics technology. Samples were collected during None experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":20,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""Kennedy Space Center""}"
OSD-243,Space biology research study on Rattus norvegicus - OSD-243,2020,ISS,Rattus norvegicus,blood,metabolomics,NanoDrop,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/OSD-243,This study investigates the effects of microgravity and space radiation on Rattus norvegicus blood tissue using metabolomics technology. Samples were collected during ISS experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":21,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""University Partner""}"
OSD-244,Space biology research study on Mus musculus - OSD-244,2021,,Mus musculus,muscle,amplicon,Illumina HiSeq,ground,10.1036/example.osd-244,https://osdr.nasa.gov/bio/repo/data/studies/OSD-244,This study investigates the effects of microgravity and space radiation on Mus musculus muscle tissue using amplicon technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":22,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""NASA Ames""}"
OSD-245,Space biology research study on Arabidopsis thaliana - OSD-245,2022,ISS Expedition 60,Arabidopsis thaliana,bone,methyl-seq,Illumina NextSeq,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/OSD-245,This study investigates the effects of microgravity and space radiation on Arabidopsis thaliana bone tissue using methyl-seq technology. Samples were collected during ISS Expedition 60 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":23,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""Kennedy Space Center""}"
OSD-246,Space biology research study on Drosophila melanogaster - OSD-246,2023,Space Shuttle,Drosophila melanogaster,liver,ATAC-seq,Affymetrix,spaceflight,10.1038/example.osd-246,https://osdr.nasa.gov/bio/repo/data/studies/OSD-246,This study investigates the effects of microgravity and space radiation on Drosophila melanogaster liver tissue using ATAC-seq technology. Samples were collected during Space Shuttle experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":24,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""University Partner""}"
OSD-251,Space biology research study on Caenorhabditis elegans - OSD-251,2024,,Caenorhabditis elegans,kidney,ChIP-seq,Agilent,ground,,https://osdr.nasa.gov/bio/repo/data/studies/OSD-251,This study investigates the effects of microgravity and space radiation on Caenorhabditis elegans kidney tissue using ChIP-seq technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":25,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""NASA Ames""}"
OSD-252,Space biology research study on Homo sapiens - OSD-252,2015,ISS,Homo sapiens,spleen,RNA-seq,mass spectrometry,spaceflight,10.1040/example.osd-252,https://osdr.nasa.gov/bio/repo/data/studies/OSD-252,This study investigates the effects of microgravity and space radiation on Homo sapiens spleen tissue using RNA-seq technology. Samples were collected during ISS experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":6,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""Kennedy Space Center""}"
OSD-253,Space biology research study on Rattus norvegicus - OSD-253,2016,ISS Expedition 50,Rattus norvegicus,heart,microarray,NanoDrop,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/OSD-253,This study investigates the effects of microgravity and space radiation on Rattus norvegicus heart tissue using microarray technology. Samples were collected during ISS Expedition 50 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":7,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""University Partner""}"
OSD-254,Space biology research study on Mus musculus - OSD-254,2017,,Mus musculus,leaf,proteomics,Illumina HiSeq,ground,10.1042/example.osd-254,https://osdr.nasa.gov/bio/repo/data/studies/OSD-254,This study investigates the effects of microgravity and space radiation on Mus musculus leaf tissue using proteomics technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":8,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""NASA Ames""}"
OSD-255,Space biology research study on Arabidopsis thaliana - OSD-255,2018,Space Shuttle,Arabidopsis thaliana,root,metabolomics,Illumina NextSeq,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/OSD-255,This study investigates the effects of microgravity and space radiation on Arabidopsis thaliana root tissue using metabolomics technology. Samples were collected during Space Shuttle experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":9,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""Kennedy Space Center""}"
OSD-256,Space biology research study on Drosophila melanogaster - OSD-256,2019,,Drosophila melanogaster,seed,amplicon,Affymetrix,spaceflight,10.1044/example.osd-256,https://osdr.nasa.gov/bio/repo/data/studies/OSD-256,This study investigates the effects of microgravity and space radiation on Drosophila melanogaster seed tissue using amplicon technology. Samples were collected during None experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":10,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""University Partner""}"
OSD-314,Space biology research study on Caenorhabditis elegans - OSD-314,2020,,Caenorhabditis elegans,brain,methyl-seq,Agilent,ground,,https://osdr.nasa.gov/bio/repo/data/studies/OSD-314,This study investigates the effects of microgravity and space radiation on Caenorhabditis elegans brain tissue using methyl-seq technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":11,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""NASA Ames""}"
OSD-315,Space biology research study on Homo sapiens - OSD-315,2021,ISS Expedition 50,Homo sapiens,lung,ATAC-seq,mass spectrometry,spaceflight,10.1046/example.osd-315,https://osdr.nasa.gov/bio/repo/data/studies/OSD-315,This study investigates the effects of microgravity and space radiation on Homo sapiens lung tissue using ATAC-seq technology. Samples were collected during ISS Expedition 50 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":12,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""Kennedy Space Center""}"
OSD-316,Space biology research study on Rattus norvegicus - OSD-316,2022,ISS Expedition 60,Rattus norvegicus,blood,ChIP-seq,NanoDrop,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/OSD-316,This study investigates the effects of microgravity and space radiation on Rattus norvegicus blood tissue using ChIP-seq technology. Samples were collected during ISS Expedition 60 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":13,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""University Partner""}"
OSD-321,Space biology research study on Mus musculus - OSD-321,2023,,Mus musculus,muscle,RNA-seq,Illumina HiSeq,ground,10.1048/example.osd-321,https://osdr.nasa.gov/bio/repo/data/studies/OSD-321,This study investigates the effects of microgravity and space radiation on Mus musculus muscle tissue using RNA-seq technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":14,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""NASA Ames""}"
OSD-322,Space biology research study on Arabidopsis thaliana - OSD-322,2024,,Arabidopsis thaliana,bone,microarray,Illumina NextSeq,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/OSD-322,This study investigates the effects of microgravity and space radiation on Arabidopsis thaliana bone tissue using microarray technology. Samples were collected during None experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":15,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""Kennedy Space Center""}"
OSD-323,Space biology research study on Drosophila melanogaster - OSD-323,2015,ISS,Drosophila melanogaster,liver,proteomics,Affymetrix,spaceflight,10.1050/example.osd-323,https://osdr.nasa.gov/bio/repo/data/studies/OSD-323,This study investigates the effects of microgravity and space radiation on Drosophila melanogaster liver tissue using proteomics technology. Samples were collected during ISS experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":16,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""University Partner""}"
OSD-369,Space biology research study on Caenorhabditis elegans - OSD-369,2016,,Caenorhabditis elegans,kidney,metabolomics,Agilent,ground,,https://osdr.nasa.gov/bio/repo/data/studies/OSD-369,This study investigates the effects of microgravity and space radiation on Caenorhabditis elegans kidney tissue using metabolomics technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":17,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""NASA Ames""}"
OSD-370,Space biology research study on Homo sapiens - OSD-370,2017,ISS Expedition 60,Homo sapiens,spleen,amplicon,mass spectrometry,spaceflight,10.1052/example.osd-370,https://osdr.nasa.gov/bio/repo/data/studies/OSD-370,This study investigates the effects of microgravity and space radiation on Homo sapiens spleen tissue using amplicon technology. Samples were collected during ISS Expedition 60 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":18,""has_publication"":true,""study_type"":""genomics"",""pi_institution"":""Kennedy Space Center""}"
OSD-371,Space biology research study on Rattus norvegicus - OSD-371,2018,Space Shuttle,Rattus norvegicus,heart,methyl-seq,NanoDrop,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/OSD-371,This study investigates the effects of microgravity and space radiation on Rattus norvegicus heart tissue using methyl-seq technology. Samples were collected during Space Shuttle experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":19,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""University Partner""}"
OSD-379,Space biology research study on Mus musculus - OSD-379,2019,,Mus musculus,leaf,ATAC-seq,Illumina HiSeq,ground,10.1054/example.osd-379,https://osdr.nasa.gov/bio/repo/data/studies/OSD-379,This study investigates the effects of microgravity and space radiation on Mus musculus leaf tissue using ATAC-seq technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":20,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""NASA Ames""}"
OSD-380,Space biology research study on Arabidopsis thaliana - OSD-380,2020,ISS,Arabidopsis thaliana,root,ChIP-seq,Illumina NextSeq,spaceflight,,https://osdr.nasa.gov/bio/repo/data/studies/OSD-380,This study investigates the effects of microgravity and space radiation on Arabidopsis thaliana root tissue using ChIP-seq technology. Samples were collected during ISS experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":21,""has_publication"":false,""study_type"":""transcriptomics"",""pi_institution"":""Kennedy Space Center""}"
OSD-381,Space biology research study on Drosophila melanogaster - OSD-381,2021,ISS Expedition 50,Drosophila melanogaster,seed,RNA-seq,Affymetrix,spaceflight,10.1056/example.osd-381,https://osdr.nasa.gov/bio/repo/data/studies/OSD-381,This study investigates the effects of microgravity and space radiation on Drosophila melanogaster seed tissue using RNA-seq technology. Samples were collected during ISS Expedition 50 experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":22,""has_publication"":true,""study_type"":""transcriptomics"",""pi_institution"":""University Partner""}"
OSD-425,Space biology research study on Caenorhabditis elegans - OSD-425,2022,,Caenorhabditis elegans,brain,microarray,Agilent,ground,,https://osdr.nasa.gov/bio/repo/data/studies/OSD-425,This study investigates the effects of microgravity and space radiation on Caenorhabditis elegans brain tissue using microarray technology. Samples were collected during ground control experiments and analyzed for differential gene expression and phenotypic changes.,"{""sample_count"":23,""has_publication"":false,""study_type"":""genomics"",""pi_institution"":""NASA Ames""}"
